iter	Passed	Remaining
0	3	311
1	5	242
2	7	202
3	10	207
4	13	212
5	16	215
6	19	214
7	22	214
8	23	201
9	25	188
10	27	188
11	31	191
12	34	190
13	37	189
14	40	187
15	41	178
16	44	179
17	45	171
18	47	163
19	50	162
20	53	163
21	56	162
22	59	161
23	61	156
24	64	155
25	67	153
26	68	147
27	71	146
28	75	144
29	77	142
30	80	141
31	84	139
32	86	137
33	89	134
34	91	130
35	94	128
36	95	123
37	98	121
38	101	119
39	104	117
40	107	115
41	110	112
42	113	110
43	116	108
44	119	106
45	122	103
46	125	101
47	128	99
48	131	96
49	134	94
50	137	91
51	140	89
52	143	86
53	147	84
54	150	82
55	153	79
56	156	76
57	159	74
58	162	71
59	165	68
60	168	66
61	171	63
62	174	60
63	177	58
64	181	55
65	184	53
66	187	50
67	190	47
68	193	44
69	196	42
70	199	39
71	202	36
72	205	33
73	208	30
74	211	28
75	215	25
76	217	22
77	220	19
78	223	17
79	227	14
80	230	11
81	233	8
82	235	5
83	238	2
84	242	0
